,Company,Title,Location,Time
132,Atidiv,Decision Analytics Associate,"Pune, Maharashtra, India",1 day ago
133,STOXX,Junior Data Analyst,Mumbai Metropolitan Region,1 day ago
134,Accobridge Solutions,Data Analysis Trainee Required,India,1 day ago
135,Idyllic Services,Business Data Analyst,"Pune, Maharashtra, India",3 weeks ago
136,Recro,Senior Data Analyst,"Pune, Maharashtra, India",1 day ago
137,Cloud Counselage Pvt. Ltd.,Jr. Data Analyst,Mumbai Metropolitan Region,1 week ago
138,Bytemetrics Solutions,Data Analysis or Analyst Trainee,"Visakhapatnam Rural mandal, India",1 day ago
139,Bristlecone,Power BI,"Bengaluru, Karnataka, India",2 days ago
140,Accobridge Solutions,Data Analysis Trainee Required,"Pune, Maharashtra, India",1 day ago
141,RecroconX Technologies,Data Analytics Trainee-1,"Chennai, Tamil Nadu, India",1 day ago
142,EXL,Tableau Analyst,"Gurugram, Haryana, India",1 day ago
143,Gigafactor Solutions,Data Analyst Trainee,"Pune, Maharashtra, India",3 weeks ago
144,Bytemetrics Solutions,Data Analytics Trainee,"Chennai, Tamil Nadu, India",3 days ago
145,PrimefactorX,Data Analytics Trainee,"Bengaluru, Karnataka, India",1 day ago
146,WeRize,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
147,InnovateNuo Solutions,Data Analytics Trainee [Required],"Delhi, India",1 day ago
148,PrimefactorX,Data Analytics Trainee - 1,"Navi Mumbai, Maharashtra, India",1 week ago
149,Gigafactor Solutions,Data Analyst Trainee,"Bengaluru, Karnataka, India",2 weeks ago
150,Recro,Marketing Data Analyst,"Bengaluru, Karnataka, India",1 day ago
151,Innovateshield Solutions,Data Analyst Trainee,"Bengaluru, Karnataka, India",1 week ago
152,Mastercard,"Associate Analyst, Analytics & Metrics-2-R-232373","Gurgaon, Haryana, India",3 days ago
153,InnovateNuo Solutions,Data Analyst and Analytics Trainee (Remotely),"Navi Mumbai, Maharashtra, India",2 weeks ago
154,Soul AI,Data Analyst,India,1 week ago
155,Innovateshield Solutions,Data Analyst Trainee,"Pune, Maharashtra, India",2 weeks ago
156,RecroconX Technologies,Data Analytics Trainee-1,"Navi Mumbai, Maharashtra, India",1 day ago
157,PrimefactorX,Data Analytics Trainee,"Chennai, Tamil Nadu, India",1 day ago
158,Freelancerprox,Data Analyst,India,2 weeks ago
159,American Express,Senior Analyst-Data Analytics,"Gurugram, Haryana, India",5 days ago
160,PrimefactorX,Data Analytics Trainee - 1,"Visakhapatnam Rural mandal, India",1 week ago
161,NatWest Group,"Data Analyst, AVP","Bengaluru, Karnataka, India",2 weeks ago
162,Innovateshield Solutions,Data Analyst Trainee,"Pune, Maharashtra, India",2 weeks ago
163,Inspire,Tech Data Analyst [T500-15498],"Hyderabad, Telangana, India",1 week ago
164,Luxoft,PowerBI Developer,India,1 day ago
165,PrimefactorX,Data Analytics Trainee,"Ahmedabad, Gujarat, India",1 day ago
166,BayOne Solutions,Data Analyst,India,1 day ago
167,NielsenIQ,MDG Associate,"Pune, Maharashtra, India",1 day ago
168,Palladium: Make It Possible,Climate Data Analyst,"Mumbai, Maharashtra, India",2 days ago
169,SAZ India- Complete Career Solutions,Data Analyst Trainee,"Bangalore North Rural, Karnataka, India",1 week ago
170,Chubb,Data Analyst,"Telangana, India",2 weeks ago
171,Flex AI,Growth Data Analyst,"Uttar Pradesh, India",1 day ago
172,InnovateNuo Solutions,Data Analyst Trainee,"Navi Mumbai, Maharashtra, India",1 week ago
173,Gigafactor Solutions,Data Analyst Trainee,"Navi Mumbai, Maharashtra, India",1 day ago
174,STOXX,Junior Data Analyst - ESG Data,Mumbai Metropolitan Region,1 day ago
175,Flex AI,Growth Data Analyst,India,1 week ago
176,BlackRock,"Analyst, Applied Analytics","Gurgaon, Haryana, India",2 weeks ago
177,Cortex Consultants LLC,Data Analyst_Banglore_Immediate Joiner,"Bengaluru, Karnataka, India",1 week ago
178,MSCI Inc.,Python Data Analyst,"Bengaluru, Karnataka, India",1 day ago
179,Amagi Corporation,Research Analyst,"Bengaluru, Karnataka, India",1 week ago
180,DMAIC Academy & Consultancy,Data Modeler,"Pune, Maharashtra, India",3 weeks ago
181,Unified Mentor Private Limited,Data Analyst Intern,"Pune, Maharashtra, India",2 weeks ago
182,Cognizant,Process Executive - Data,"Pune, Maharashtra, India",1 day ago
183,TwiLearn,Data Analyst,"Pune, Maharashtra, India",1 week ago
184,Innovateshield Solutions,Required Data Analytics Trainee : Fresher,"Delhi, India",1 day ago
185,RecroconX Technologies,Data Analytics Traineeship,India,2 days ago
186,Cognizant,Process Executive - Data,"Hyderabad, Telangana, India",1 day ago
187,Tata Consultancy Services,Business Intelligence Consultant,"Hyderabad, Telangana, India",1 week ago
188,JPMorganChase,Client Data Analyst,"Bengaluru, Karnataka, India",1 week ago
189,PrimefactorX,Data Analytics Trainee,"Nashik, Maharashtra, India",1 week ago
190,Andor Tech,Data Analyst,"Bangalore Urban, Karnataka, India",1 week ago
191,JPMorganChase,Client Data Analyst,"Bengaluru, Karnataka, India",1 day ago
192,Gigafactor Solutions,Data Analyst or Analytics Trainee,"Pune, Maharashtra, India",1 day ago
193,BlackRock,"Analyst, Client Data Management","Gurgaon, Haryana, India",1 week ago
194,Marsh McLennan,Lead Specialist - Data Science,"Mumbai, Maharashtra, India",1 week ago
195,IGT Solutions,Business Intelligence Specialist,"Gurugram, Haryana, India",1 day ago
196,RecroconX Technologies,Data Analytics Traineeship,"Navi Mumbai, Maharashtra, India",1 day ago
197,HTC Global Services,Data Analyst,Greater Chennai Area,1 day ago
198,STOXX,Junior Data Analyst,Mumbai Metropolitan Region,1 day ago
199,GEDU Services,Senior Data Analyst,"Noida, Uttar Pradesh, India",1 day ago
200,CashKaro.com,Senior Associate - Data Analyst,"Gurugram, Haryana, India",1 day ago
201,Citi,Reference Data Services Analyst VBA Macros in capital market.,"Gurugram, Haryana, India",1 day ago
202,RecroconX Technologies,Data Analytics Traineeship,"Hyderabad, Telangana, India",1 day ago
203,Elements HR Services Pvt Ltd,Assistant Manager - MI,"Noida, Uttar Pradesh, India",2 weeks ago
204,Gigafactor Solutions,Data Analyst Trainee,"Delhi, India",1 day ago
205,SAZ India- Complete Career Solutions,Data Analyst Trainee (Remote - 1),"Hyderabad, Telangana, India",1 week ago
206,Gigafactor Solutions,Data Analyst or Analytics Trainee,"Bengaluru, Karnataka, India",1 day ago
207,Golden Opportunities,Data analytics - GO/JC/20153/2024,"Pune, Maharashtra, India",1 day ago
208,Accenture,Senior Analyst,"Bengaluru, Karnataka, India",1 day ago
209,LS Digital Group,Executive / Associate - Digital Analytics,"Navi Mumbai, Maharashtra, India",2 weeks ago
210,DMAIC Academy & Consultancy,Data Modeler,"Bengaluru, Karnataka, India",1 day ago
211,TwiLearn,Data Analyst Intern,Mumbai Metropolitan Region,1 week ago
212,Bytemetrics Solutions,Data Analytics Trainee,"Hyderabad, Telangana, India",3 days ago
213,Pure Storage,BI Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
214,Wayfair,Lead Analyst,"Bengaluru, Karnataka, India",3 weeks ago
215,RecroconX Technologies,Data Analyst Trainee,"Lucknow, Uttar Pradesh, India",1 week ago
216,Innovateshield Solutions,Data Analyst Trainee,"Chennai, Tamil Nadu, India",1 day ago
217,Innovateshield Solutions,Data Analytics Internship - Remote,"Hyderabad, Telangana, India",1 day ago
218,TwiLearn,Data Analyst Intern,"Delhi, India",6 days ago
219,RecroconX Technologies,Data Analytics Traineeship,"Bengaluru, Karnataka, India",1 month ago
220,OptimSpace,Data Analyst Intern,"Pune, Maharashtra, India",2 weeks ago
221,Accobridge Solutions,Data Analysis Or Analyst Traineeship,"Hyderabad, Telangana, India",1 week ago
222,eClerx,Analyst,"Mumbai, Maharashtra, India",1 day ago
223,Tech Mahindra,Microsoft Certified: Power BI - Immediate Joiner,Greater Bengaluru Area,1 day ago
224,TwiLearn,Data Analyst,"Gurgaon, Haryana, India",1 day ago
225,JPMorganChase,Client Data Analyst,"Bengaluru, Karnataka, India",1 day ago
226,Innovateshield Solutions,Data Analytics Intern,"Pune, Maharashtra, India",2 days ago
227,Infinitalent Consulting Pvt ltd,Data analytics,"Bengaluru, Karnataka, India",2 days ago
228,JPMorganChase,Client Data Analyst,"Bengaluru, Karnataka, India",1 day ago
229,EVERSANA,Associate / Senior Associate,"Bengaluru, Karnataka, India",1 day ago
230,Accobridge Solutions,Required Data Analytics Trainee,"Pune, Maharashtra, India",3 weeks ago
231,Sopra Steria,Python - Data Analyst,"Chennai, Tamil Nadu, India",3 days ago
232,Geeta University,Performance Specialist,"Panipat, Haryana, India",1 week ago
233,Razorpay,Senior Analytics Specialist,Greater Bengaluru Area,1 day ago
234,Goldman Sachs,Data Engineering - Associate - Global Banking & Markets,"Bengaluru, Karnataka, India",1 day ago
235,Larsen & Toubro,Assistant Manager - ESG,"Chennai, Tamil Nadu, India",1 week ago
236,Accobridge Solutions,Data Analysis Or Analyst Traineeship,"Chennai, Tamil Nadu, India",1 week ago
237,Reliance Industries Limited,Lead Analyst,"Jamnagar, Gujarat, India",1 week ago
238,Capco,Data Management Analyst,"Bengaluru, Karnataka, India",1 day ago
239,InnovatexIQ Solutions,Data Analyst [ Required Trainee ],Greater Kolkata Area,1 day ago
240,Digit88 Technologies,Data Analyst- Tariff,"Pune, Maharashtra, India",3 days ago
241,Amagi Corporation,Research Analyst,"Bengaluru, Karnataka, India",1 day ago
242,DMAIC Academy & Consultancy,Data Modeler,"Pune, Maharashtra, India",1 day ago
243,Unified Mentor Private Limited,Data Analyst Intern,"Pune, Maharashtra, India",2 weeks ago
244,TwiLearn,Data Analyst,"Pune, Maharashtra, India",1 day ago
245,Innovateshield Solutions,Required Data Analytics Trainee : Fresher,"Delhi, India",1 day ago
246,RecroconX Technologies,Data Analytics Traineeship,India,1 day ago
247,Cognizant,Process Executive - Data,"Pune, Maharashtra, India",2 weeks ago
248,Cognizant,Process Executive - Data,"Hyderabad, Telangana, India",2 days ago
249,Valasys Media,Data Research Analyst,"Pune, Maharashtra, India",2 days ago
250,TwiLearn,Data Analyst Intern,"Gurgaon, Haryana, India",1 day ago
251,InnovateNuo Solutions,Data Analyst Trainee - Opportunity,India,1 day ago
252,Deloitte,Data Scientist,"Bengaluru, Karnataka, India",1 day ago
253,HP,Finance Data Analyst,"Bengaluru, Karnataka, India",1 week ago
254,MMGS,Power BI Specialist,"Mumbai, Maharashtra, India",6 days ago
255,Agodly Infotech LLP,Data Analyst,"Pune, Maharashtra, India",1 day ago
256,Tata Chemicals,Associate Officer,"Okhamandal, Gujarat, India",1 day ago
257,Bytemetrics Solutions,Data Analysis Analyst Trainee,"Chennai, Tamil Nadu, India",1 week ago
258,eClerx,Analyst,"Mumbai, Maharashtra, India",1 week ago
259,Webito Infotech,Data Analyst,"Ahmedabad, Gujarat, India",1 day ago
260,Stegpearl,Business Reporting Analyst,"Jaipur, Rajasthan, India",1 day ago
261,PepsiCo,Data Engineer,"Hyderabad, Telangana, India",1 day ago
262,PrimefactorX,Hiring Data Analyst Intern,India,2 weeks ago
263,Agodly Infotech LLP,Data Analyst,"Pune, Maharashtra, India",1 week ago
264,Tata Consultancy Services,Data Modeler(Bangalore) NAB,"Bengaluru, Karnataka, India",1 week ago
265,Innovateshield Solutions,Data Analytics Internship - Remote,"Chennai, Tamil Nadu, India",1 day ago
266,Intellistaff Services Pvt. Ltd,Data Analyst,"Bengaluru East, Karnataka, India",1 day ago
267,Autodesk,Workday Data Analyst,"Bengaluru, Karnataka, India",6 days ago
268,Innovateshield Solutions,Hiring Data Analyst Trainee (Paid),"Visakhapatnam Rural mandal, India",1 day ago
269,Sparkmetrics Solutions,SQL Developers Apprentice,"Pune, Maharashtra, India",1 week ago
